state (Custom SQL Query1),avg_median_by_state
CA,107228.711377246
NH,115985.176470588
OR,96861.394230769
ND,98084.171428571
TX,87772.731034483
PR,18814.127118644
NV,95877.213333333
OH,72987.448
KY,60741.726618705
NY,95091.025096525
HI,111571.104166667
NM,81977.975903614
IN,81687.240641711
MS,67896.443298969
DC,119413.3125
WV,63528.095890411
NE,106411.507246377
MO,72734.393782383
FL,74970.653927813
ME,68187.086956522
AR,62114.1
NC,70466.559701493
WI,64346.428571429
CT,108837.303370787
SD,67118.88
RI,97505.043478261
OK,69220.259259259
ID,90887.363636364
GA,71628.927601810
MN,91254.486301370
PA,75722.529850746
MD,123702.232758621
AK,95409.257142857
WY,120833.142857143
LA,61104.313725490
MT,71134.708333333
IL,82420.710875332
TN,65968.227272727
WA,98479.955056180
NJ,129923.642201835
MI,72760.688581315
MA,125007.381818182
AL,63847.256410256
UT,137664.108695652
IA,89815.447619048
VT,85500.653846154
CO,98012.567796610
SC,58716.699115044
VA,108192.792270531
DE,74032.461538462
AZ,89147.577464789
KS,87691.662790698
